0 1 1 2 0 0 0 0 0
1 1 1 1 0 0 0 0 0
2 1 1 0 0 0 0 0 0
3 1 2 0 0 0 1 0 0
4 1 2 0 0 1 1 0 0
5 1 3 0 0 2 1 0 0
6 1 2 0 0 1 1 0 0
7 1 3 0 0 2 1 0 0
8 1 3 0 0 1 1 0 0
9 1 3 0 0 1 1 1 0
10 1 2 0 1 1 1 1 0
11 1 2 0 0 1 1 1 1
12 1 2 0 1 0 2 1 1
13 1 3 0 0 1 2 1 1
14 1 4 0 0 1 2 2 2
15 1 3 0 0 1 2 1 1
16 1 4 0 0 1 2 1 2
17 1 5 0 0 2 1 1 2
18 2 4 0 0 3 2 1 1
19 1 4 0 0 4 1 1 2
20 1 5 0 0 3 1 1 3
21 1 4 0 0 3 1 1 2
22 1 4 1 0 2 3 1 3
23 1 4 0 0 4 2 2 2
24 1 4 1 0 4 3 1 2
25 1 5 0 0 3 3 1 1
26 1 8 0 1 3 2 1 2
27 1 5 0 1 3 2 1 1
28 2 4 0 0 3 2 1 2
29 1 4 0 1 4 2 2 1
30 1 4 0 1 4 2 2 1
31 1 5 1 0 4 3 1 2
32 1 5 0 0 3 3 1 2
33 1 4 0 0 2 2 1 3
34 1 5 1 0 4 1 1 2
35 1 4 0 1 3 2 1 3
